Miembro,Id,Mateo/Miguel,Estilizado,Prompt imagen ,imagen ,prompt video,video,video orginal,ACEPTADO,Prompt Final,Prompt Imagen Arreglo,Imagen,Prompt Video Arreglo,Video
Dario,62,Miguel,Cartoon,"""Un único hombre visto de espaldas corriendo por el andén de una estación de tren, paralelo a las vías. ""
    ""Viste camisa gris de manga larga, pantalones oscuros y zapatillas blancas. No hay nadie más corriendo. ""
    ""Entorno: estructura metálica a la izquierda, vías a la derecha y un tren rojo estacionado al fondo con algunas personas sentadas en bancos. ""
    ""Estilo de dibujo animado clásico de los años 90, con contornos negros gruesos, colores vibrantes y saturados, textura cel tradicional.""",https://drive.google.com/file/d/1vFa-daGRQf9V1wGaoIJbkp-UOyVixkg-/view?usp=drive_link,"""El hombre corre hacia adelante por el andén con un movimiento rápido, con ráfagas de humo saliendo de sus pies al correr.""",https://drive.google.com/file/d/1kAjWttu69mEfNKT5kLZVc4da_cbrbklv/view?usp=drive_link,https://drive.google.com/file/d/1CcFcjyAxaLK9ibYMghCqfpAxWS1IXoWG/view?usp=drive_link,No,El hombre corre hacia adelante por el andén con un movimiento rápido con rafagas de humo saleindo de los pies de los hombres al correr.,,,,
Dario,63,Miguel,Cartoon,"""Un único pingüino con cresta amarilla de pie sobre un bloque de hielo flotando en el mar. ""
    ""Al fondo, montañas nevadas y cielo claro. Reflejo en el agua. ""
    ""Estilo de dibujo animado clásico de los años 90, con contornos negros gruesos y colores vibrantes y planos.""",https://drive.google.com/file/d/1XsZ39OIG_CnoDUfSZJeRiZ2FcLtuGec0/view?usp=drive_link,"""Plano fijo. Pingüino y entorno completamente inmóviles.""",https://drive.google.com/file/d/1mcjEXkK1eIsR_BOrhoAxl2A03WgfTgT6/view?usp=drive_link,https://drive.google.com/file/d/1iFajwc8W8HdM-eMNn6qnh4zXc4-ddU2E/view?usp=drive_link,No,,,,,
Dario,64,Miguel,Cartoon,"""Varios pingüinos con cresta amarilla sobre dos bloques de hielo en el mar. ""
    ""En el bloque de la izquierda hay tres pingüinos, y en el de la derecha hay tres adultos con pequeñas crías a sus pies. ""
    ""Agua en calma y montañas nevadas al fondo. ""
    ""Estilo de dibujo animado clásico de los años 90, con contornos negros gruesos, colores vibrantes y planos, y estética de animación tradicional 2D.""",https://drive.google.com/file/d/1778iDGPvzkwRw5PF0WW4dyrEGW0wAcYt/view?usp=drive_link,"""Imagen estática. Cero movimiento. Píxeles congelados. Sin animación.""",https://drive.google.com/file/d/1d5sxb4huPKERpRUYCUeeRJjMtwT-MEZu/view?usp=drive_link,https://drive.google.com/file/d/1OhsiZu0JntcEk3dr4MSQIOFtFrP-5_00/view?usp=drive_link,Si,,,,,
Dario,66,Miguel,Cartoon,"""Una zona residencial suburbana tranquila con una casa de madera oscura, techo a dos aguas y un porche blanco con barandillas. ""
    ""Árboles verdes frondosos rodean la propiedad. Una calle asfaltada limpia cruza la escena. ""
    ""Un coche plateado circula hacia la derecha, y un coche oscuro está cerca de un muro bajo de ladrillo rojo a la izquierda. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con contornos negros gruesos, colores vibrantes y planos, ""
    ""y un aspecto nostálgico de animación tradicional en 2D.""",https://drive.google.com/file/d/1URd6ryh9xUdAfFQpSOF1a9PqxYFiPPMz/view?usp=drive_link,"""Los coches circulan por la calle con un movimiento rápido, ligeramente exagerado y con un leve efecto de 'estiramiento' típico de la animación 2D clásica. ""
        ""La cámara realiza un suave movimiento lateral de seguimiento. ""
        ""Las hojas de los árboles se mecen suavemente de forma animada. ""
        ""Las casas, el muro de ladrillo y el resto del entorno mantienen su estilo de dibujo animado plano y permanecen completamente estables.""",https://drive.google.com/file/d/15Kkr78P2qJNe4GAArFThYi_oKybwGWld/view?usp=drive_link,https://drive.google.com/file/d/1Lav4bJsqNJpCa0ZagMKg6EqlRC8v64zz/view?usp=drive_link,Si,,,,,
Dario,69,Miguel,Cartoon,"""Vista del patio trasero de una gran casa residencial de dos pisos con paredes gris oscuro y techo oscuro, vista a través de grandes pinos a los lados. ""
    ""Hay una piscina de agua azul brillante abajo. Adosada a la casa hay una pérgola de madera que proyecta sombras de rayas muy marcadas. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con contornos negros gruesos, colores vibrantes y planos, ""
    ""sombras duras y un estilo retro de animación tradicional en 2D.""",https://drive.google.com/file/d/1VwZ3PFd70bdXrcaHItu6_ibkm8A07eq_/view?usp=drive_link,"""El agua de la piscina ondula suavemente con un movimiento estilizado y de colores planos, típico de la animación 2D. ""
        ""Las ramas de los pinos en primer plano se mecen con la brisa de forma animada. ""
        ""La cámara realiza un movimiento muy lento y sutil de avance (zoom in) hacia la casa. ""
        ""La estructura del edificio y las pronunciadas sombras de la pérgola mantienen el estilo de dibujo animado y permanecen estables.""",https://drive.google.com/file/d/1jlOkYwdpc7BwXga3s3smQPwsV6Pef3-h/view?usp=drive_link,https://drive.google.com/file/d/1JYrDXZkropzmCsQ9eZvStd4jrFcRIN4u/view?usp=drive_link,Si,,,,,
Dario,71,Miguel,Cartoon,"""Vista aérea a vista de pájaro de un barrio residencial suburbano. Casas con techos oscuros y fachadas grises, rodeadas de jardines verdes y árboles. ""
    ""Calles serpenteantes. Un coche rojo circula por la izquierda y hay una casa con piscina a la derecha. Bosque verde al fondo. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con colores planos y vibrantes, contornos negros gruesos ""
    ""y un aspecto retro de animación 2D tradicional.""",https://drive.google.com/file/d/1uOFDCrSmsgtFogdEEMz4YICgPD-j0eWQ/view?usp=drive_link,"""La cámara realiza un movimiento de traslación lateral fluido sobre el barrio, simulando un vuelo. ""
        ""El coche rojo avanza por la calle con un movimiento rápido y ligeramente cómico, típico de la animación 2D. ""
        ""Las copas de los árboles se mecen con la brisa de forma animada. ""
        ""Toda la arquitectura, las parcelas y el trazado de las calles mantienen el estilo de dibujo animado plano y permanecen estables.""",https://drive.google.com/file/d/1ItH-1dLndmvG1T_gk6-AupJan5LeA5jE/view?usp=drive_link,https://drive.google.com/file/d/1FfpcGoxvt8a1JnkwYOwqBr6ZcKOCalvO/view?usp=drive_link,Si,,,,,
Dario,72,Miguel,Cartoon,"""Vista aérea de una base militar con torres de vigilancia, hangares grises, una calle con señal de STOP y sacos de arena. ""
    ""Pequeñas figuras humanas cerca de un área vallada. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con colores planos, contornos negros gruesos ""
    ""y un aspecto de animación tradicional 2D.""",https://drive.google.com/file/d/1jnsAb4o0BJ6N_kVjmIcMek_sJRLFz-62/view?usp=drive_link,"""La cámara aérea avanza lentamente sobre la base militar con un movimiento suave. ""
        ""Las pequeñas figuras humanas realizan movimientos sutiles y animados, típicos de los dibujos 2D. ""
        ""Las estructuras, torres, sacos de arena y edificios mantienen el estilo plano de dibujo animado y permanecen completamente sólidos y estables.""",https://drive.google.com/file/d/1VES09wExdg57u3-TExXQy_I62Y7Y92cN/view?usp=drive_link,https://drive.google.com/file/d/1QANC_-dxQB-lQuVJdzCCsxkU3oPHJA83/view?usp=drive_link,Si,,,,,
Dario,73,Miguel,Cartoon,"""Interior amplio de una gran iglesia, vista desde un ángulo ligeramente elevado y a la izquierda, mirando hacia abajo por el pasillo central. ""
    ""Los altos pilares gris claro y las largas filas de bancos de madera oscurecida receden diagonalmente hacia una gran puerta de madera con arcos al fondo. ""
    ""El pasillo central está cubierto por una alfombra roja. Solo hay unas 4 o 5 personas humanas sentadas total en los bancos, realizando quietos gestos. ""
    ""(Estrictamente seres humanos, no animales, forzar el límite de conteo). Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con contornos negros gruesos y colores vibrantes y planos. Textura cel tradicional.""",https://drive.google.com/file/d/11vrBF7Lu1TqWMMVBBZF8Lbrx6lPta-VB/view?usp=drive_link,"""Plano fijo. Cámara estática. Las personas y el entorno permanecen completamente inmóviles. Sin animación.""",https://drive.google.com/file/d/1NuxC6FR4Apta09RouMWG5BZhvCUeSSYY/view?usp=drive_link,https://drive.google.com/file/d/18yUaNRUfxpe22MxSCIuznX4GA7kEALJU/view?usp=drive_link,Si,,,,,
Dario,74,Miguel,Cartoon,"""Vista directa al altar de una iglesia. En primer plano central, un hombre joven de espaldas mirando hacia el altar, ""
    ""vistiendo mangas largas color azul claro, chaleco oscuro y pantalones oscuros. Delante de él hay unos escalones de piedra clara. ""
    ""Al fondo en el altar hay un gran crucifijo central iluminado con luz cálida, flanqueado por dos estatuas de ángeles sobre pedestales. ""
    ""A los lados del altar sillas de coro de madera oscura tallada sin gente sentados en ellos. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con contornos negros gruesos y colores vibrantes y planos.""",https://drive.google.com/file/d/1ohs8WqxJowgsKubWSqiLQTf_dPx7g2t5/view?usp=drive_link,"""El hombre se sienta. Cámara completamente estática y entorno inmóvil."",",https://drive.google.com/file/d/1WlR0Nn2q4f7JvqLFpoaqYK3E5slpNi_w/view?usp=drive_link,https://drive.google.com/file/d/12p69J-pcbxomTjX-0e70uIPAk8TU8Ztp/view?usp=drive_link,,,,,,
Dario,75,Miguel,Cartoon,"""Dos hombres con chaleco naranja hablan gesticulando en una zona de construcción. ""
    ""Hay contenedores metálicos (con el texto 'D 12') y montones de escombros de concreto al fondo. Suelo con charcos. ""
    ""Estilo de dibujo animado clásico de los años 90 tipo Looney Tunes, con colores planos, vibrantes, contornos negros gruesos ""
    ""y estética retro de animación tradicional en 2D.""",https://drive.google.com/file/d/1P8Kg-KwbI7kT7g9IG_WO14AVgO2H1Cru/view?usp=drive_link,"""La cámara avanza hacia las personas. Los dos hombres gesticulan con los brazos y mueven la boca como si hablaran. Entorno completamente inmóvil.""",https://drive.google.com/file/d/1oHTXzm2Iz2J6YEXd3uqEuWGa7PfflspQ/view?usp=drive_link,https://drive.google.com/file/d/1xdrfL7CI0g_LjvqehG0R4ZHdcpRQ0Ju0/view?usp=drive_link,,,,,,
